timestamp,region,value
2020:2:13:12:39:56,3,10
2020:2:13:12:39:56,0,0
2020:2:13:12:39:56,3,10
2020:2:13:12:39:56,0,0
2020:2:13:12:39:56,3,10
2020:2:13:12:39:56,0,0
2020:2:13:12:39:56,3,10
2020:2:13:12:39:56,0,0
2020:2:13:12:39:56,3,10
2020:2:13:12:39:56,0,0
2020:2:13:12:39:56,3,10
2020:2:13:12:39:56,0,0
2020:2:13:12:39:56,3,10
2020:2:13:12:39:56,0,0
2020:2:13:12:39:56,3,10
2020:2:13:12:39:56,0,0
2020:2:13:12:39:56,3,10
2020:2:13:12:39:56,0,0
2020:2:13:12:39:56,3,10
2020:2:13:12:39:56,0,0
2020:2:13:12:39:56,3,10
2020:2:13:12:39:56,0,0
2020:2:13:12:39:56,3,10
2020:2:13:12:39:56,0,0
2020:2:13:12:39:56,3,10
2020:2:13:12:39:56,0,0
2020:2:13:12:39:56,3,10
2020:2:13:12:39:56,0,0
2020:2:13:12:39:56,3,10
2020:2:13:12:39:56,0,0
2020:2:13:12:39:56,3,10
2020:2:13:12:39:56,0,0
2020:2:13:12:39:56,3,10
2020:2:13:12:39:56,0,0
2020:2:13:12:39:56,3,10
2020:2:13:12:39:56,0,3
2020:2:13:12:39:56,3,0
2020:2:13:12:39:56,0,3
2020:2:13:12:39:56,3,0
2020:2:13:12:39:56,0,3
2020:2:13:12:39:56,3,0
2020:2:13:12:39:56,0,3
2020:2:13:12:39:56,3,0
2020:2:13:12:39:56,0,3
2020:2:13:12:39:56,3,0
2020:2:13:12:39:56,0,3
2020:2:13:12:39:56,3,0
2020:2:13:12:39:56,0,3
2020:2:13:12:39:56,3,0
2020:2:13:12:39:56,0,3
2020:2:13:12:39:56,3,0
2020:2:13:12:39:56,0,3
2020:2:13:12:39:56,3,0
2020:2:13:12:39:56,0,3
2020:2:13:12:39:56,3,0
2020:2:13:12:39:56,0,3
2020:2:13:12:39:56,3,0
2020:2:13:12:39:56,0,3
2020:2:13:12:39:56,3,0
2020:2:13:12:39:56,0,3
2020:2:13:12:39:56,3,0
2020:2:13:12:39:56,0,3
2020:2:13:12:39:56,3,0
2020:2:13:12:39:56,0,3
2020:2:13:12:39:56,3,0
2020:2:13:12:39:56,0,3
2020:2:13:12:39:56,3,0
2020:2:13:12:39:56,0,3
2020:2:13:12:39:56,3,0
2020:2:13:12:39:56,0,3
2020:2:13:12:39:56,3,0
2020:2:13:12:39:56,0,3
